id,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
11651,Yarraville,147 Williamstown Rd,3,h,851000.0,S,Jas,3/12/2016,7.0,3013.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,6543.0
11652,Hampton,64 Earlsfield Rd,4,h,1460000.0,S,Buxton,27/06/2016,13.7,3188.0,4.0,3.0,2.0,562.0,228.0,1950.0,Bayside City Council,-37.9369,145.0163,Southern Metropolitan,5454.0
11653,Mount Waverley,5/280 Lawrence Rd,2,u,730000.0,S,Ray,15/07/2017,14.2,3149.0,,,,,,,Monash City Council,,,Eastern Metropolitan,13366.0
11654,Doncaster East,35 Owens St,4,h,1385000.0,PI,Barry,17/03/2018,14.3,3109.0,4.0,3.0,2.0,675.0,194.0,1980.0,Manningham City Council,-37.77714,145.14903,Eastern Metropolitan,10999.0
11655,Donvale,40 Astelot Dr,3,h,902000.0,S,Hoskins,24/06/2017,16.1,3111.0,3.0,1.0,2.0,649.0,,,Manningham City Council,-37.80274,145.17952,Eastern Metropolitan,4790.0
11656,Balwyn,6/29 Weir St,2,u,460000.0,VB,Jellis,16/04/2016,9.7,3103.0,2.0,1.0,1.0,0.0,79.0,1950.0,Boroondara City Council,-37.8152,145.0839,Southern Metropolitan,5682.0
11657,Aberfeldie,13 Valencia St,4,h,1650000.0,SP,Barry,16/09/2017,7.5,3040.0,4.0,2.0,1.0,484.0,186.0,1950.0,Moonee Valley City Council,-37.7609,144.89886,Western Metropolitan,1543.0
11658,Bundoora,71 Wallara Cr,3,h,660000.0,S,Buckingham,8/07/2017,12.1,3083.0,3.0,1.0,2.0,582.0,119.0,1970.0,Banyule City Council,-37.70301,145.06341,Northern Metropolitan,10175.0
11659,Hawthorn,107/567 Glenferrie Rd,2,u,560000.0,S,hockingstuart,16/07/2016,4.6,3122.0,2.0,1.0,1.0,0.0,70.0,2013.0,Boroondara City Council,-37.8268,145.0344,Southern Metropolitan,11308.0
11660,Malvern,19 Gordon Gr,3,h,2000000.0,VB,Jellis,13/05/2017,7.4,3144.0,3.0,1.0,2.0,360.0,,,Stonnington City Council,-37.8636,145.0301,Southern Metropolitan,4675.0
11661,Keilor East,2/224 Milleara Rd,3,u,550000.0,VB,Barry,17/02/2018,11.7,3033.0,,,,,,,Brimbank City Council,,,Western Metropolitan,5629.0
11662,Coburg North,15 Arthur St,3,h,940000.0,S,Nelson,10/02/2018,6.7,3058.0,3.0,2.0,2.0,653.0,115.0,1970.0,Darebin City Council,-37.72385,144.98324,Northern Metropolitan,3445.0
11663,Cremorne,22 Cubitt St,2,h,1200000.0,SP,Jellis,9/09/2017,2.4,3121.0,2.0,1.0,,160.0,,,Yarra City Council,-37.82647,144.99264,Northern Metropolitan,1123.0
11664,Canterbury,3/13 Wattle Valley Rd,2,u,830000.0,S,Century,4/06/2016,9.0,3126.0,2.0,1.0,1.0,110.0,83.0,1960.0,Boroondara City Council,-37.8264,145.0824,Southern Metropolitan,3265.0
11665,Heidelberg Heights,146 Porter Rd,2,h,920000.0,S,Barry,28/05/2016,10.5,3081.0,2.0,1.0,3.0,932.0,97.0,1950.0,Banyule City Council,-37.7333,145.0588,Eastern Metropolitan,2947.0
11666,Abbotsford,44 Lulie St,2,h,970000.0,S,Nelson,9/12/2017,3.0,3067.0,2.0,1.0,,105.0,85.0,1890.0,Yarra City Council,-37.79644,144.99578,Northern Metropolitan,4019.0
11667,Jacana,15 Bliburg St,3,h,460000.0,PI,Eview,24/09/2016,14.5,3047.0,3.0,1.0,1.0,601.0,92.0,1960.0,Hume City Council,-37.6889,144.9109,Northern Metropolitan,851.0
11668,Bentleigh East,33 McGuinness Rd,3,h,1111000.0,S,Jellis,9/09/2017,13.8,3165.0,3.0,2.0,2.0,,,,Glen Eira City Council,-37.92361,145.07503,Southern Metropolitan,10969.0
11669,Balaclava,1/30 Gourlay St,2,t,990000.0,S,McGrath,18/11/2017,6.4,3183.0,,,,,,,Port Phillip City Council,,,Southern Metropolitan,2952.0
11670,Fawkner,69 Marlborough St,4,h,879500.0,PI,Raine,24/02/2018,13.1,3060.0,4.0,1.0,2.0,690.0,,1950.0,Hume City Council,-37.71829,144.96605,Northern Metropolitan,5070.0
11671,St Kilda,3/38 Barkly St,2,u,503500.0,S,Buxton,16/04/2016,6.1,3182.0,2.0,1.0,1.0,683.0,72.0,1940.0,Port Phillip City Council,-37.8594,144.9828,Southern Metropolitan,13240.0
11672,Preston,2/15 Percival St,3,u,715000.0,S,hockingstuart,8/04/2017,8.8,3072.0,3.0,1.0,1.0,210.0,,1996.0,Darebin City Council,-37.7317,145.0083,Northern Metropolitan,14577.0
11673,Watsonia North,3 Michelle Av,4,h,760000.0,PI,Barry,6/01/2018,14.5,3087.0,4.0,2.0,3.0,651.0,,,Banyule City Council,-37.69559,145.08686,Northern Metropolitan,1442.0
11674,Doncaster,60 High St,4,h,1275000.0,VB,Jellis,3/09/2017,12.4,3108.0,4.0,2.0,2.0,,248.0,1975.0,Manningham City Council,-37.7832,145.10931000000005,Eastern Metropolitan,9028.0
11675,Williamstown North,53 Park Cr,4,h,1175000.0,S,Village,29/04/2017,8.9,3016.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,802.0
11676,Rosanna,155 Bellevue Av,3,h,1200000.0,SP,Miles,24/09/2016,11.4,3084.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,3540.0
11677,West Footscray,29 Devonshire St,4,h,710000.0,PI,Sweeney,4/03/2017,8.2,3012.0,4.0,1.0,1.0,255.0,131.0,1920.0,Maribyrnong City Council,-37.7906,144.8687,Western Metropolitan,5058.0
11678,Fawkner,12 Selola Ct,3,h,652500.0,PI,hockingstuart,27/11/2016,12.4,3060.0,3.0,1.0,1.0,592.0,113.0,1960.0,Hume City Council,-37.6968,144.9674,Northern Metropolitan,5070.0
11679,Reservoir,4/7 Oconnor St,1,u,341000.0,PI,Ray,7/11/2016,11.2,3073.0,1.0,1.0,1.0,125.0,,,Darebin City Council,-37.711,145.0052,Northern Metropolitan,21650.0
11680,Altona North,60 Fifth Av,3,h,922000.0,S,hockingstuart,20/05/2017,11.1,3025.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132.0
11681,Reservoir,12 Nisbett St,3,h,546000.0,S,Barry,13/08/2016,11.2,3073.0,3.0,1.0,2.0,592.0,84.0,1960.0,Darebin City Council,-37.728,145.0352,Northern Metropolitan,21650.0
11682,Cheltenham,9 Eunice Dr,5,h,950000.0,VB,Buxton,9/12/2017,17.9,3192.0,5.0,2.0,4.0,534.0,,,Bayside City Council,-37.96684000000001,145.07724,Southern Metropolitan,9758.0
11683,Broadmeadows,90 Kitchener St,3,h,582000.0,S,YPA,19/08/2017,14.0,3047.0,3.0,1.0,1.0,,112.0,1960.0,Hume City Council,-37.68318,144.92848,Northern Metropolitan,4294.0
11684,Hawthorn,50 Kinkora Rd,4,h,5050000.0,VB,Kay,19/11/2016,4.6,3122.0,4.0,4.0,2.0,905.0,373.0,1913.0,Boroondara City Council,-37.8168,145.0321,Southern Metropolitan,11308.0
11685,Armadale,1/77 Wattletree Rd,2,u,660000.0,SP,hockingstuart,4/03/2017,6.3,3143.0,2.0,1.0,1.0,0.0,,,Stonnington City Council,-37.8619,145.0257,Southern Metropolitan,4836.0
11686,Reservoir,2/4 Pratt St,3,t,642500.0,S,Barry,3/06/2017,12.0,3073.0,3.0,2.0,2.0,160.0,140.0,2010.0,Darebin City Council,-37.71064000000001,145.01067,Northern Metropolitan,21650.0
11687,Malvern East,17A Findon St,3,h,1870000.0,S,Jellis,19/11/2016,11.2,3145.0,3.0,2.0,1.0,400.0,152.0,1930.0,Stonnington City Council,-37.8718,145.0404,Southern Metropolitan,8801.0
11688,Hawthorn East,15/19 Auburn Gr,2,u,633000.0,S,Marshall,25/11/2017,6.2,3123.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,6482.0
11689,St Kilda,18/21 Marine Pde,4,u,3610000.0,S,Wilson,23/09/2017,5.0,3182.0,4.0,3.0,3.0,,30.0,,Port Phillip City Council,-37.87111,144.97657,Southern Metropolitan,13240.0
11690,Caulfield North,641 Inkerman Rd,2,h,1417500.0,S,Marshall,27/05/2017,7.8,3161.0,2.0,1.0,2.0,307.0,103.0,1900.0,Glen Eira City Council,-37.86906,145.01986000000005,Southern Metropolitan,6923.0
11691,Forest Hill,2/66 Mahoneys Rd,3,h,742000.0,S,hockingstuart,22/07/2017,15.4,3131.0,3.0,1.0,1.0,404.0,,,Whitehorse City Council,-37.83792,145.16573,Eastern Metropolitan,4385.0
11692,Broadmeadows,178 Widford St,3,h,640000.0,VB,Stockdale,28/10/2017,14.0,3047.0,3.0,1.0,3.0,697.0,,,Hume City Council,-37.69078,144.92606999999995,Northern Metropolitan,4294.0
11693,Ascot Vale,21 Walter St,2,h,1130000.0,S,Brad,8/07/2017,4.3,3032.0,2.0,1.0,1.0,222.0,,,Moonee Valley City Council,-37.77182,144.90524,Western Metropolitan,6567.0
11694,Bentleigh,11 Wheatley Rd,4,h,1860000.0,PI,McGrath,12/11/2016,13.0,3204.0,4.0,2.0,3.0,855.0,197.0,1930.0,Glen Eira City Council,-37.9163,145.0324,Southern Metropolitan,6795.0
11695,Brighton East,25 Camperdown St,5,h,2550000.0,PI,RT,15/10/2016,10.7,3187.0,5.0,3.0,2.0,551.0,346.0,2016.0,Bayside City Council,-37.9176,145.009,Southern Metropolitan,6938.0
11696,Camberwell,1/32 Allambee Av,2,u,753000.0,S,Garvey,12/11/2016,7.8,3124.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,8920.0
11697,Hampton,72b David St,2,t,890000.0,S,Hodges,7/05/2016,13.7,3188.0,1.0,2.0,2.0,181.0,,,Bayside City Council,-37.9433,145.019,Southern Metropolitan,5454.0
11698,Brunswick,9/33 Staley St,2,u,445000.0,S,Walshe,7/05/2016,5.2,3056.0,2.0,1.0,1.0,0.0,61.0,1975.0,Moreland City Council,-37.7643,144.9638,Northern Metropolitan,11918.0
11699,Thomastown,46 Lincoln Dr,3,h,580000.0,PI,Harcourts,3/06/2017,15.3,3074.0,3.0,1.0,2.0,525.0,,,Whittlesea City Council,-37.68484,145.0072,Northern Metropolitan,7955.0
11700,Balwyn North,26 Maylands Av,3,h,1739000.0,S,Nelson,12/08/2017,9.7,3104.0,3.0,1.0,2.0,638.0,,,Boroondara City Council,-37.79843,145.06728,Southern Metropolitan,7809.0
11701,Carnegie,25 Byron St,2,t,850000.0,S,Woodards,16/09/2017,10.1,3163.0,2.0,2.0,1.0,117.0,101.0,2007.0,Glen Eira City Council,-37.88592,145.04781,Southern Metropolitan,7822.0
11702,Brooklyn,1/8 Paw Paw Rd,2,h,507000.0,SP,hockingstuart,25/02/2017,10.9,3012.0,2.0,1.0,2.0,191.0,87.0,2014.0,Brimbank City Council,-37.8226,144.8392,Western Metropolitan,962.0
11703,Elwood,6/217 Brighton Rd,2,u,525000.0,S,Wilson,3/12/2016,7.7,3184.0,2.0,1.0,1.0,553.0,83.0,1960.0,Port Phillip City Council,-37.8802,144.9942,Southern Metropolitan,8989.0
11704,Glen Waverley,28 Durward Av,4,h,1165000.0,PI,Barry,21/10/2017,16.7,3150.0,4.0,1.0,2.0,,116.0,1955.0,Monash City Council,-37.89097,145.15153999999995,Eastern Metropolitan,15321.0
11705,Glenroy,111 Loongana Av,3,h,770000.0,PI,Barry,12/08/2017,11.2,3046.0,3.0,1.0,2.0,604.0,132.0,1960.0,Moreland City Council,-37.70855,144.90441,Northern Metropolitan,8870.0
11706,Altona North,153 Mills St,3,h,1405000.0,S,Sweeney,4/03/2017,11.1,3025.0,3.0,1.0,3.0,655.0,,,Hobsons Bay City Council,-37.8338,144.8562,Western Metropolitan,5132.0
11707,Brunswick West,1/455 Albion St,1,u,265000.0,PI,Walshe,7/05/2016,5.9,3055.0,1.0,1.0,1.0,0.0,42.0,2000.0,Moreland City Council,-37.7586,144.9452,Northern Metropolitan,7082.0
11708,Glenroy,4/45 Lytton St,2,h,525000.0,SP,Eview,25/11/2017,11.2,3046.0,,,,,,,Moreland City Council,,,Northern Metropolitan,8870.0
11709,Burwood,3/51 Middleborough Rd,2,u,580000.0,S,McGrath,6/05/2017,11.7,3125.0,2.0,1.0,1.0,153.0,,1970.0,Monash City Council,-37.8528,145.1318,Southern Metropolitan,5678.0
11710,Carlton,2/105 Neill St,3,u,1110000.0,S,Nelson,24/09/2016,1.8,3053.0,3.0,2.0,1.0,0.0,,,Melbourne City Council,-37.7946,144.9716,Northern Metropolitan,6786.0
11711,Seaford,15 East Rd,3,h,960000.0,S,Buxton,17/03/2018,35.4,3198.0,3.0,2.0,2.0,1228.0,,,Frankston City Council,-38.10471,145.14203,South-Eastern Metropolitan,8077.0
11712,Clifton Hill,131 Noone St,3,h,1337500.0,S,Collins,9/12/2017,3.6,3068.0,3.0,2.0,1.0,,,,Yarra City Council,-37.79425,144.9978,Northern Metropolitan,2954.0
11713,Taylors Lakes,11 Wellesley Dr,5,h,691000.0,PI,Prof.,11/11/2017,15.5,3038.0,5.0,2.0,2.0,,,,Brimbank City Council,-37.6947,144.7933,Western Metropolitan,5336.0
11714,Gardenvale,28 Magnolia Rd,4,h,883000.0,S,McGrath,24/02/2018,7.2,3185.0,4.0,2.0,2.0,558.0,161.0,1925.0,Glen Eira City Council,-37.89871,145.01019,Southern Metropolitan,534.0
11715,Malvern,3/197 Wattletree Rd,5,h,2325000.0,S,Marshall,25/02/2017,7.4,3144.0,5.0,3.0,2.0,501.0,233.0,2006.0,Stonnington City Council,-37.8631,145.0353,Southern Metropolitan,4675.0
11716,Edithvale,77 Fraser Av,3,h,837000.0,S,hockingstuart,23/09/2017,27.0,3196.0,3.0,1.0,1.0,441.0,,,Kingston City Council,-38.03804,145.11728,South-Eastern Metropolitan,2546.0
11717,Prahran,102/11 Hillingdon Pl,2,u,698000.0,S,Marshall,27/05/2017,4.6,3181.0,2.0,1.0,1.0,0.0,85.0,1900.0,Stonnington City Council,-37.85163,144.9943,Southern Metropolitan,7717.0
11718,Balwyn,11 Belgrove Av,5,h,2950000.0,VB,Jellis,10/12/2016,9.7,3103.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,5682.0
11719,Clayton South,12 Bond St,3,h,850000.0,S,C21,9/09/2017,17.5,3169.0,3.0,1.0,2.0,613.0,,,Kingston City Council,-37.93086,145.11073000000005,South-Eastern Metropolitan,4734.0
11720,Hawthorn East,4/43 Clifton Rd,2,u,706000.0,S,hockingstuart,22/08/2016,7.5,3123.0,2.0,1.0,1.0,172.0,90.0,1960.0,Boroondara City Council,-37.8437,145.0536,Southern Metropolitan,6482.0
11721,Prahran,18 Park Rd,3,h,1460000.0,PI,Rodney,24/02/2018,4.6,3181.0,,,,,,,Stonnington City Council,-37.85258,145.0071,Southern Metropolitan,7717.0
11722,Mulgrave,16 Morawa Dr,3,h,800000.0,S,Ray,27/05/2017,18.8,3170.0,3.0,2.0,2.0,324.0,,,Monash City Council,-37.92783,145.19685,South-Eastern Metropolitan,7113.0
11723,Moorabbin,16 Matilda Rd,4,h,947500.0,S,McGrath,3/12/2016,14.6,3189.0,4.0,2.0,2.0,609.0,16.0,,Kingston City Council,-37.9416,145.058,Southern Metropolitan,2555.0
11724,Jacana,1/24 Bliburg St,3,u,440000.0,SP,Barry,17/03/2018,14.0,3047.0,,,,,,,Hume City Council,,,Northern Metropolitan,851.0
11725,Glen Waverley,8 Edith St,3,h,2450000.0,S,Stockdale,23/09/2017,16.7,3150.0,3.0,1.0,0.0,984.0,,,Monash City Council,-37.87376,145.15238,Eastern Metropolitan,15321.0
11726,Chadstone,2/35 Binalong Av,3,t,820000.0,S,McGrath,19/11/2016,13.6,3148.0,,,,,,,Monash City Council,,,Southern Metropolitan,3582.0
11727,St Kilda,26/12 Clyde St,2,u,530000.0,PI,Buxton,4/03/2017,6.1,3182.0,2.0,1.0,1.0,6186.0,,,Port Phillip City Council,-37.8656,144.9782,Southern Metropolitan,13240.0
11728,Richmond,301/185 Lennox St,2,u,711650.0,SP,hockingstuart,17/03/2018,2.4,3121.0,,,,,,,Yarra City Council,,,Northern Metropolitan,14949.0
11729,Mernda,6 Renaissance Bvd,4,h,520500.0,S,RW,1/07/2017,25.9,3754.0,4.0,2.0,2.0,482.0,,,Whittlesea City Council,-37.60238,145.08695,Northern Metropolitan,5812.0
11730,Parkdale,2/9 Davey St,3,u,720000.0,S,Chisholm,11/11/2017,21.5,3195.0,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,5087.0
11731,Thornbury,124 Fyffe St,4,h,1530000.0,PI,McGrath,9/09/2017,7.0,3071.0,4.0,2.0,3.0,,,,Darebin City Council,-37.75317,144.98427,Northern Metropolitan,8870.0
11732,Hawthorn,14/36 Lisson Gr,1,u,560000.0,S,Kay,3/06/2017,5.3,3122.0,1.0,1.0,1.0,0.0,47.0,1970.0,Boroondara City Council,-37.82694,145.03094,Southern Metropolitan,11308.0
11733,Pascoe Vale,3/191 Sussex St,2,t,410000.0,VB,Brad,23/04/2016,9.9,3044.0,2.0,1.0,1.0,105.0,88.0,2014.0,Moreland City Council,-37.7233,144.9507,Northern Metropolitan,7485.0
11734,Kurunjang,51 Archer Dr,4,h,439000.0,S,Raine,6/01/2018,31.7,3337.0,4.0,2.0,2.0,807.0,181.0,2008.0,Melton City Council,-37.65765,144.59515,Northern Victoria,3553.0
11735,Brighton,50 Outer Cr,4,h,3110000.0,S,Nick,13/05/2017,11.2,3186.0,,,,,,,Bayside City Council,,,Southern Metropolitan,10579.0
11736,Ormond,1 Carcoola Ct,3,h,1470000.0,S,Woodards,25/02/2017,11.8,3204.0,3.0,2.0,2.0,0.0,163.0,1980.0,Glen Eira City Council,-37.9071,145.0439,Southern Metropolitan,3578.0
11737,Coburg,48 Barrow St,5,h,1615000.0,S,Nelson,27/05/2017,6.7,3058.0,5.0,2.0,3.0,630.0,,,Darebin City Council,-37.7532,144.97114,Northern Metropolitan,11204.0
11738,Richmond,56 Lincoln St,3,h,915000.0,S,Collins,28/10/2017,2.4,3121.0,3.0,1.0,,128.0,,,Yarra City Council,-37.81305,145.00292,Northern Metropolitan,14949.0
11739,Craigieburn,5 Healey St,3,h,499000.0,S,@Realty,27/05/2017,20.6,3064.0,3.0,2.0,0.0,598.0,158.0,1990.0,Hume City Council,-37.5993,144.93867,Northern Metropolitan,15510.0
11740,Meadow Heights,2/11 Opal Ct,2,u,333000.0,SP,YPA,19/08/2017,17.4,3048.0,2.0,1.0,1.0,,104.0,1960.0,Hume City Council,-37.65234,144.92955,Northern Metropolitan,4704.0
11741,Port Melbourne,2/2 Graham St,2,u,600000.0,VB,Greg,4/06/2016,3.8,3207.0,2.0,1.0,1.0,0.0,74.0,2005.0,Melbourne City Council,-37.8424,144.9449,Southern Metropolitan,8648.0
11742,Camberwell,9 Sunnyside Av,4,h,3850000.0,S,Jellis,20/05/2017,7.8,3124.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,8920.0
11743,Coburg,6/51 The Grove,2,u,666500.0,S,Walshe,7/10/2017,6.7,3058.0,,,,,,,Darebin City Council,,,Northern Metropolitan,11204.0
11744,Hampton,3/8 Alicia St,2,u,500000.0,PI,Hodges,27/06/2016,13.7,3188.0,2.0,1.0,1.0,0.0,61.0,1970.0,Bayside City Council,-37.9436,145.0027,Southern Metropolitan,5454.0
11745,Rosanna,14 Milford Gr,4,h,1720000.0,S,Miles,27/11/2016,11.4,3084.0,4.0,4.0,2.0,1215.0,,,Banyule City Council,-37.7387,145.0729,Eastern Metropolitan,3540.0
11746,Mernda,19 Friesian St,4,h,620000.0,S,Stockdale,18/11/2017,25.9,3754.0,,,,,,,Whittlesea City Council,,,Northern Metropolitan,5812.0
11747,Viewbank,37 Kambea Cr,3,h,1061000.0,S,Fletchers,24/06/2017,8.9,3084.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,2698.0
11748,Camberwell,13 Smith Rd,3,h,2177000.0,S,Kay,22/08/2016,7.8,3124.0,3.0,1.0,2.0,635.0,130.0,1920.0,Boroondara City Council,-37.8454,145.0707,Southern Metropolitan,8920.0
11749,Richmond,187A Burnley St,3,h,1695000.0,S,Jellis,3/09/2017,2.4,3121.0,,,,,,,Yarra City Council,,,Northern Metropolitan,14949.0
11750,Aberfeldie,13 Batman St,5,h,2400000.0,S,Barry,28/05/2016,9.1,3040.0,3.0,2.0,2.0,1315.0,,,Moonee Valley City Council,-37.7548,144.8915,Western Metropolitan,1543.0
11751,Sunshine West,16 Lauren La,3,h,590900.0,PI,Douglas,3/06/2017,10.5,3020.0,,,,,,,Brimbank City Council,,,Western Metropolitan,6763.0
11752,Carnegie,1/38 Neville St,3,u,1170000.0,S,Woodards,10/09/2016,11.4,3163.0,3.0,1.0,2.0,0.0,170.0,1925.0,Glen Eira City Council,-37.8977,145.0493,Southern Metropolitan,7822.0
11753,Glen Iris,3/1690 Malvern Rd,2,u,504000.0,S,Fletchers,16/09/2017,7.3,3146.0,2.0,1.0,1.0,,,,Boroondara City Council,-37.86204,145.05789,Southern Metropolitan,10412.0
11754,Oak Park,10 Grevillia Rd,5,h,1100000.0,PI,Nelson,12/11/2016,11.5,3046.0,5.0,2.0,4.0,783.0,223.0,1950.0,Moreland City Council,-37.7207,144.9263,Northern Metropolitan,2651.0
11755,Brighton,8 Dendy St,3,h,2030000.0,S,Nick,28/08/2016,11.2,3186.0,4.0,2.0,2.0,366.0,,,Bayside City Council,-37.9193,144.9898,Southern Metropolitan,10579.0
11756,Glenroy,4/788 Pascoe Vale Rd,2,t,450000.0,SP,Barry,18/03/2017,13.0,3046.0,,,,,,,Moreland City Council,,,Northern Metropolitan,8870.0
11757,Carnegie,19/225 Koornang Rd,2,u,460000.0,VB,Ray,12/06/2016,11.4,3163.0,2.0,1.0,1.0,0.0,,,Glen Eira City Council,-37.8936,145.056,Southern Metropolitan,7822.0
11758,Maidstone,3 Ringtail Cct,3,h,725500.0,SP,Biggin,22/08/2016,9.2,3012.0,3.0,2.0,2.0,214.0,,,Maribyrnong City Council,-37.7831,144.8825,Western Metropolitan,3873.0
11759,Brighton,2 Gatehouse Pl,2,t,1400000.0,S,RT,28/08/2016,11.2,3186.0,2.0,2.0,1.0,267.0,,,Bayside City Council,-37.9159,144.9933,Southern Metropolitan,10579.0
11760,Watsonia,96 Watsonia Rd,4,h,1000000.0,S,Nelson,21/10/2017,14.5,3087.0,4.0,2.0,2.0,577.0,119.0,1960.0,Banyule City Council,-37.70864,145.08328,Northern Metropolitan,2329.0
11761,Brighton East,16b Regent St,3,t,1511000.0,S,RT,24/09/2016,10.7,3187.0,2.0,2.0,2.0,496.0,,,Bayside City Council,-37.9237,145.0075,Southern Metropolitan,6938.0
11762,Richmond,23 Gardner St,3,t,1012000.0,S,Jellis,27/06/2016,2.6,3121.0,3.0,2.0,1.0,80.0,,,Yarra City Council,-37.8155,145.0061,Northern Metropolitan,14949.0
11763,St Kilda,5/47 Acland St,2,u,757500.0,S,Gary,19/11/2016,6.1,3182.0,2.0,1.0,1.0,0.0,,,Port Phillip City Council,-37.865,144.9761,Southern Metropolitan,13240.0
11764,Yallambie,14 Borlase St,5,h,1060000.0,S,Buckingham,29/04/2017,15.0,3085.0,5.0,2.0,2.0,627.0,232.0,1960.0,Banyule City Council,-37.7327,145.0804,Northern Metropolitan,1369.0
11765,Hampton East,3/8 Eldon Ct,2,t,771000.0,S,McGrath,8/07/2017,13.8,3188.0,2.0,1.0,1.0,0.0,99.0,1992.0,Bayside City Council,-37.94083,145.03682,Southern Metropolitan,2356.0
11766,Elsternwick,393 Kooyong Rd,3,h,1625000.0,S,Biggin,3/12/2016,8.5,3185.0,3.0,2.0,2.0,447.0,181.0,1920.0,Glen Eira City Council,-37.8912,145.0138,Southern Metropolitan,4898.0
11767,Mill Park,7 Fowler Ct,4,h,666000.0,S,Ray,7/10/2017,17.9,3082.0,4.0,2.0,1.0,,,,Whittlesea City Council,-37.6607,145.04305,Northern Metropolitan,10529.0
11768,Bentleigh East,1/82 Wingate St,3,t,800000.0,PI,Buxton,3/03/2018,13.8,3165.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969.0
11769,Canterbury,17 Hassett Av,4,h,2300000.0,S,Kay,17/06/2017,8.4,3126.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,3265.0
11770,Footscray,16 Nicholson St,6,h,1527000.0,S,Nelson,6/01/2018,5.1,3011.0,6.0,2.0,2.0,,,,Maribyrnong City Council,-37.79559,144.90008,Western Metropolitan,7570.0
11771,Clifton Hill,20 Hilton St,2,h,973000.0,S,Collins,12/08/2017,3.6,3068.0,2.0,1.0,0.0,163.0,,,Yarra City Council,-37.793,144.98763,Northern Metropolitan,2954.0
11772,Reservoir,3 Joan Ct,3,h,725000.0,S,Ray,28/10/2017,12.0,3073.0,3.0,1.0,2.0,828.0,,,Darebin City Council,-37.69255,144.9745,Northern Metropolitan,21650.0
11773,Craigieburn,27 Kensley Cct,4,h,492000.0,S,Ray,24/06/2017,20.6,3064.0,4.0,2.0,2.0,479.0,166.0,2009.0,Hume City Council,-37.57005,144.91908999999995,Northern Metropolitan,15510.0
11774,Brunswick West,1 Jordan St,2,h,1315000.0,S,Nelson,24/09/2016,5.9,3055.0,2.0,1.0,2.0,554.0,116.0,1930.0,Moreland City Council,-37.7715,144.9426,Northern Metropolitan,7082.0
11775,Strathmore Heights,353a Mascoma St,3,u,750000.0,VB,Paul,28/05/2016,12.5,3041.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,389.0
11776,Epping,7 Centurion Ct,3,h,646000.0,S,Love,23/09/2017,19.6,3076.0,3.0,2.0,2.0,716.0,114.0,1979.0,Whittlesea City Council,-37.64206,145.03703000000004,Northern Metropolitan,10926.0
11777,Croydon,20 Vernon St,5,h,1370000.0,S,Jellis,21/10/2017,23.0,3136.0,5.0,2.0,3.0,,,,Maroondah City Council,-37.80224000000001,145.27584,Eastern Metropolitan,11925.0
11778,Ascot Vale,17 Elliott St,4,h,1600000.0,S,Nelson,28/10/2017,4.3,3032.0,4.0,2.0,2.0,,,,Moonee Valley City Council,-37.78138,144.90885,Western Metropolitan,6567.0
11779,Malvern East,66 Argyll St,3,h,1100000.0,PI,Thomson,24/09/2016,11.2,3145.0,3.0,1.0,2.0,645.0,126.0,1960.0,Stonnington City Council,-37.875,145.0861,Southern Metropolitan,8801.0
11780,Balwyn North,2/11 Winfield Rd,2,t,860000.0,S,hockingstuart,10/12/2016,9.2,3104.0,2.0,2.0,2.0,204.0,,,Boroondara City Council,-37.8008,145.10399999999996,Southern Metropolitan,7809.0
11781,Camberwell,44 Moorhouse St,3,h,1550000.0,VB,Marshall,24/02/2018,7.7,3124.0,3.0,2.0,2.0,968.0,172.0,2007.0,Boroondara City Council,-37.82901,145.06714,Southern Metropolitan,8920.0
11782,Surrey Hills,1/9 Boronia St,3,h,1310000.0,S,Noel,17/06/2017,10.2,3127.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,5457.0
11783,Oakleigh South,15 Lehem Av,4,h,1000000.0,VB,Buxton,6/01/2018,15.5,3167.0,4.0,2.0,2.0,,143.0,1960.0,Kingston City Council,-37.92744,145.08436,South-Eastern Metropolitan,3692.0
11784,Preston,428 Plenty Rd,3,h,996000.0,S,hockingstuart,27/05/2017,8.4,3072.0,3.0,1.0,2.0,581.0,,,Darebin City Council,-37.73972,145.0111,Northern Metropolitan,14577.0
11785,Moorabbin,1020 Nepean Hwy,3,t,915000.0,S,Buxton,10/02/2018,14.3,3189.0,3.0,2.0,2.0,230.0,,,Kingston City Council,-37.94298,145.04118,Southern Metropolitan,2555.0
